Control Unit,Division,Department,Direct Sponsor,2014,2015,2016,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Korea Electronics Technology..,"$423,494 ",,,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,LBNL Lawrence Berkeley Nati..,$0 ,"$65,342 ","$304,264 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Link Foundation,"$52,000 ",$0 ,"$28,000 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,National Geographic Society,"$100,000 ",,,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Nature Conservancy,,,"$45,000 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,NSF National Science Founda..,"$700,971 ",$0 ,"$1,199,914 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,"Partners of the Americas, Inc.",,"$40,000 ",$0 ,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Pennsylvania State University ..,,"$139,627 ","($49,789)",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Rainforest Foundation Norway,"$20,000 ",,,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Rockefeller Brothers Fund,,"$80,000 ",$0 ,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,"SEEO, Inc.",$0 ,,,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,UC Merced,"$92,925 ",$0 ,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Academy of Applied Science,,"$4,000 ","$4,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management","Addgene, Inc.",$0 ,,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management","Aerosol Dynamics, Inc.","$65,238 ","$192,052 ","$280,222 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Alfred P. Sloan Foundation,,"$119,611 ","$120,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",American Vineyard Foundation,"$200,800 ","$72,000 ",$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Australian National University,,$0 ,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Bay Area Environmental Rese..,"$98,412 ",$0 ,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",C&A Foundation,,,"$151,451 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Air Resources Board,"$500,000 ",$0 ,"$20,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Breast Cancer Rese..,"$833,945 ",,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Cherry Marketing Pr..,"$37,431 ","$35,406 ","$11,685 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Department of Fish ..,"$489,343 ",$0 ,"$284,798 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Department of Food..,"$341,709 ","$332,818 ","$1,220,780 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Department of Fore..,,$0 ,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Department of Park..,,"$10,000 ",,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Department of Pesti..,,,"$191,038 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Department of Wate..,"$10,321 ",,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Energy Commission,,,"$499,181 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Grape & Tree Fruit ..,"$41,236 ",,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Institute for Water R..,"$25,000 ",,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Natural Resources ..,,,"$249,791 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Office of Environme..,$0 ,,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Olive Committee,,"$35,304 ","$15,840 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Pistachio Research ..,,,"$7,116 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Raisin Marketing Bo..,"$23,114 ",,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Redwoods Associati..,$0 ,"$30,000 ",$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Strawberry Commis..,,"$13,693 ","$31,643 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Table Grape Commi..,"$63,138 ","$88,943 ","$48,368 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",California Walnut Board (Frml..,"$126,313 ","$177,921 ","$37,320 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Camille & Henry Dreyfus Foun..,,$0 ,$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Cary Institute of Ecosystem St..,,,"$13,346 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Change Happens Foundation,,,"$5,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Colorado State University,"$203,975 ",,$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Contra Costa County,,"$8,500 ",$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Cornell University,$0 ,"($146,250)",,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",CS Fund,,,"$30,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",DA ARO Army Research Offic..,"$162,110 ","$149,394 ",$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",David and Lucile Packard Fou..,,,"$35,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",DOE Department of Energy,"$2,730,236 ","$882,078 ","$9,958,330 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",East Bay Regional Park District,"$54,750 ","$4,750 ","$91,500 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Environmental Defense Fund,$0 ,,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",EPA Environmental Protection..,"$173,000 ","$37,000 ","$51,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Geosyntec Consultants,,"$2,000 ",,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Gordon and Betty Moore Foun..,$0 ,,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Indiana State University,$0 ,,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",International Community Foun..,"$7,500 ",$0 ,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",JiJi Foundation,,,"$5,000 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Lawrence Livermore National ..,"$22,533 ",,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",LBNL Lawrence Berkeley Nati..,"$827,782 ","$156,210 ","$78,410 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Marin Agricultural Land Trust,,,$0 ,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",Michigan State University,,"$35,067 ","$25,571 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management","Ministry of Science, Education..",,,"$62,513 ",,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",NASA National Aeronautics a..,"$30,000 ",$0 ,,,,,
Colleges,CNR College of Natural Resources,"Environmental Science, Policy & Management",National Academies,$0 ,$0 ,,,,,
